Date, Open, High, Low, Close
09/01/20, 28439.61, 28659.26, 28290.72, 28645.66
08/31/20, 28643.66, 28643.66, 28363.55, 28430.05
08/28/20, 28601.29, 28733.35, 28487.98, 28653.87
08/27/20, 28384.07, 28634.22, 28363.93, 28492.27
08/26/20, 28257.88, 28353.80, 28153.91, 28331.92
08/25/20, 28347.42, 28400.74, 28094.57, 28248.44
08/24/20, 28077.58, 28314.94, 28041.75, 28308.46
08/21/20, 27758.13, 27959.48, 27686.78, 27930.33
08/20/20, 27622.68, 27781.46, 27526.25, 27739.73
08/19/20, 27811.26, 27920.42, 27647.67, 27692.88
08/18/20, 27853.48, 27891.12, 27668.79, 27778.07
08/17/20, 27970.05, 27999.81, 27816.40, 27844.91
08/14/20, 27828.93, 27977.81, 27759.39, 27931.02
08/13/20, 27922.51, 27986.10, 27789.78, 27896.72
08/12/20, 27860.24, 28043.89, 27843.32, 27976.84
08/11/20, 27961.64, 28154.88, 27624.51, 27686.91
08/10/20, 27488.21, 27803.86, 27488.21, 27791.44
08/07/20, 27321.68, 27456.24, 27223.55, 27433.48
08/06/20, 27170.82, 27394.10, 27145.25, 27386.98
08/05/20, 26924.78, 27221.67, 26924.78, 27201.52
08/04/20, 26664.61, 26832.72, 26597.82, 26828.47
08/03/20, 26542.32, 26707.26, 26534.38, 26664.40
07/31/20, 26409.33, 26440.02, 26013.59, 26428.32
07/30/20, 26367.42, 26374.93, 25992.28, 26313.65
07/29/20, 26388.44, 26602.45, 26375.39, 26539.57
07/28/20, 26529.45, 26556.84, 26361.71, 26379.28
07/27/20, 26447.67, 26625.46, 26426.92, 26584.77
07/24/20, 26533.41, 26625.70, 26402.86, 26469.89
07/23/20, 26955.97, 26973.85, 26560.04, 26652.33
07/22/20, 26824.56, 27035.24, 26794.19, 27005.84
07/21/20, 26833.14, 27025.38, 26766.22, 26840.40
07/20/20, 26660.29, 26765.02, 26504.20, 26680.87
07/17/20, 26774.62, 26808.43, 26619.88, 26671.95
07/16/20, 26746.57, 26879.16, 26590.01, 26734.71
07/15/20, 27009.81, 27071.33, 26692.48, 26870.10
07/14/20, 26044.17, 26690.52, 25994.98, 26642.59
07/13/20, 26225.07, 26639.09, 26044.23, 26085.80
07/10/20, 25690.35, 26101.32, 25637.50, 26075.30
07/09/20, 26094.92, 26103.28, 25523.51, 25706.09
07/08/20, 25950.06, 26109.49, 25816.25, 26067.28
07/07/20, 26172.01, 26174.93, 25866.58, 25890.18
07/06/20, 25996.08, 26297.53, 25996.08, 26287.03
07/02/20, 25936.45, 26204.41, 25778.12, 25827.36
07/01/20, 25879.38, 26019.31, 25713.61, 25734.97
06/30/20, 25512.43, 25905.38, 25475.14, 25812.88
